시도,시군구,자격별,성별,연령구분,신청자,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외A,등급외B,등급외C
서울,성동구,감경,여자,85세이상,388,14,28,130,161,34,10,*,*,0
서울,광진구,일반,남자,65세미만,51,*,5,*,7,*,0,8,*,5
서울,광진구,일반,남자,65-69세,120,7,8,23,32,5,*,13,*,8
서울,광진구,일반,남자,70-74세,166,8,10,24,55,7,*,12,*,5
서울,광진구,일반,남자,75-79세,256,*,17,42,92,20,*,16,10,5
서울,광진구,일반,남자,80-84세,363,5,15,84,130,31,7,20,11,7
서울,광진구,일반,남자,85세이상,464,19,21,123,201,27,8,10,6,*
서울,광진구,일반,여자,65세미만,64,5,*,10,9,*,0,13,*,6
서울,광진구,일반,여자,65-69세,117,*,5,19,20,5,*,11,8,7
서울,광진구,일반,여자,70-74세,242,16,12,30,66,12,5,31,10,7
서울,광진구,일반,여자,75-79세,492,16,22,88,147,39,11,35,11,*
서울,광진구,일반,여자,80-84세,800,27,46,170,292,65,10,39,11,5
서울,광진구,일반,여자,85세이상,1078,49,101,296,403,69,12,31,7,6
서울,광진구,기초,남자,65세미만,56,*,*,12,14,*,*,6,*,*
서울,광진구,기초,남자,65-69세,66,*,*,8,18,*,0,5,*,7
서울,광진구,기초,남자,70-74세,52,*,*,*,24,*,*,6,0,*
서울,광진구,기초,남자,75-79세,43,0,*,*,23,*,*,*,0,*
서울,광진구,기초,남자,80-84세,45,0,*,8,19,6,*,*,*,*
서울,광진구,기초,남자,85세이상,32,0,*,*,12,8,*,*,0,0
서울,광진구,기초,여자,65세미만,22,*,*,6,5,0,*,*,0,0
서울,광진구,기초,여자,65-69세,70,0,*,10,28,5,*,8,*,*
서울,광진구,기초,여자,70-74세,58,0,0,6,30,*,0,*,*,0
서울,광진구,기초,여자,75-79세,92,*,*,15,34,7,*,11,*,*
서울,광진구,기초,여자,80-84세,125,*,6,28,49,8,*,6,5,0
서울,광진구,기초,여자,85세이상,166,9,17,51,62,8,*,*,*,*
서울,광진구,의료,남자,65세미만,*,0,0,0,0,0,0,*,0,0
서울,광진구,의료,남자,65-69세,*,0,0,0,0,0,0,0,0,0
서울,광진구,의료,남자,70-74세,*,0,0,0,*,0,0,0,0,0
서울,광진구,의료,남자,75-79세,*,0,0,*,0,0,0,0,0,0
서울,광진구,의료,남자,80-84세,*,0,0,0,*,0,0,0,0,0
서울,광진구,의료,남자,85세이상,*,0,0,0,*,0,0,0,0,0
서울,광진구,의료,여자,65세미만,*,0,0,0,0,0,0,0,0,*
서울,광진구,의료,여자,65-69세,0,0,0,0,0,0,0,0,0,0
서울,광진구,의료,여자,70-74세,0,0,0,0,0,0,0,0,0,0
서울,광진구,의료,여자,75-79세,*,0,0,0,0,0,0,0,0,0
서울,광진구,의료,여자,80-84세,*,0,0,*,*,0,0,0,0,0
