지역키,sido_name,sigungu_name,region_code,demand_value,total_population,elderly_population,elderly_single_households,current_resource,aging_rate,elderly_single_household_index,service,resource_type,demand_scenario,current_supply_rate,target_scenario,target_supply_rate,target_resource,continuous_gap,integer_need,provider_missing,eligible_for_allocation,allocation_cap,vulnerability_score
경상북도|청송군,경상북도,청송군,47750,1085.5,24020,10843,3986,0.0,45.14154870940882,36.761043991515265,visit_nursing,institution,ltci_midpoint,0.0,county_median,0.4134130418495324,0.44875985692766746,0.44875985692766746,1,True,True,2,0.38759878238235385
경상북도|영양군,경상북도,영양군,47760,754.0,15972,7035,2596,0.0,44.045830202854994,36.901208244491826,visit_nursing,institution,ltci_midpoint,0.0,county_median,0.4134130418495324,0.31171343355454745,0.31171343355454745,1,True,True,2,0.3241740966846919
경상북도|영덕군,경상북도,영덕군,47770,2183.0,32560,14945,6213,0.0,45.89987714987715,41.572432251589156,visit_nursing,institution,ltci_midpoint,0.0,county_median,0.4134130418495324,0.9024806703575293,0.9024806703575293,1,True,True,2,1.201221678763409
경상북도|청도군,경상북도,청도군,47820,2719.5,40021,19045,7497,0.0,47.58751655380925,39.36466264111315,visit_nursing,institution,ltci_midpoint,0.0,county_median,0.4134130418495324,1.1242767673098035,1.1242767673098035,2,True,True,2,0.986544135823392
경상북도|고령군,경상북도,고령군,47830,1334.0,29545,12167,5151,0.0,41.18124894229142,42.33582641571464,visit_nursing,institution,ltci_midpoint,0.0,county_median,0.4134130418495324,0.5514929978272762,0.5514929978272762,1,True,True,2,0.953145767253421
경상북도|성주군,경상북도,성주군,47840,2043.0,40461,17243,6602,1.0,42.616346605373074,38.288000927912776,visit_nursing,institution,ltci_midpoint,0.4894762604013706,county_median,0.4134130418495324,0.8446028444985948,0.0,0,False,False,2,0.43022891773836147
경상북도|칠곡군,경상북도,칠곡군,47850,3196.0,103537,23770,8446,4.0,22.957976375595198,35.53218342448464,visit_nursing,institution,ltci_midpoint,1.2515644555694618,county_median,0.4134130418495324,1.3212680817511058,0.0,0,False,False,2,-1.5341934158905277
경상북도|예천군,경상북도,예천군,47900,2676.5,53422,18847,6875,2.0,35.279472876343085,36.4779540510426,visit_nursing,institution,ltci_midpoint,0.7472445357743321,county_median,0.4134130418495324,1.1065000065102735,0.0,0,False,False,2,-0.42548800489225674
경상북도|봉화군,경상북도,봉화군,47920,1176.5,28122,13123,4923,1.0,46.664533105753506,37.51428789148823,visit_nursing,institution,ltci_midpoint,0.8499787505312367,county_median,0.4134130418495324,0.4863804437359749,0.0,0,False,False,2,0.6244295004927404
경상북도|울진군,경상북도,울진군,47930,2376.5,46195,15934,6622,2.0,34.49291048814806,41.5589305886783,visit_nursing,institution,ltci_midpoint,0.8415737428992215,county_median,0.4134130418495324,0.9824760939554138,0.0,0,False,False,2,0.3099958680114145
경상북도|울릉군,경상북도,울릉군,47940,137.5,8768,2900,1202,0.0,33.074817518248175,41.44827586206897,visit_nursing,institution,ltci_midpoint,0.0,county_median,0.4134130418495324,0.05684429325431071,0.05684429325431071,1,True,True,2,0.18211081960031728
경상남도|의령군,경상남도,의령군,48720,1658.5,24531,11216,5012,0.0,45.7217398393869,44.686162624821684,visit_nursing,institution,ltci_midpoint,0.0,county_median,0.4134130418495324,0.6856455299074495,0.6856455299074495,1,True,True,2,1.6756279252139599
경상남도|함안군,경상남도,함안군,48730,3117.5,56867,19771,7483,1.0,34.76708811788911,37.84836376511051,visit_nursing,institution,ltci_midpoint,0.32076984763432237,county_median,0.4134130418495324,1.2888151579659173,0.2888151579659173,1,False,True,2,-0.25051967469042014
