지역키,sido_name,sigungu_name,region_code,demand_value,current_resource,total_population,elderly_population,elderly_single_households,aging_rate,elderly_single_household_index,service,resource_type,demand_scenario,current_supply_rate,target_scenario,target_supply_rate,target_resource,continuous_gap,integer_need,provider_missing,eligible_for_allocation,allocation_cap,vulnerability_score
경상남도|함안군,경상남도,함안군,48730,3117.5,59.0,56867,19771,7483,34.76708811788911,37.84836376511051,visit_care,institution,ltci_midpoint,18.92542101042502,county_median,11.909217437998507,37.12698536296035,0.0,0,False,False,2,-0.25051967469042014
경상남도|창녕군,경상남도,창녕군,48740,3504.0,49.0,54445,22415,9213,41.16998806134632,41.10194066473344,visit_care,institution,ltci_midpoint,13.984018264840183,county_median,11.909217437998507,41.729897902746764,0.0,0,False,False,2,0.7587717285224828
경상남도|고성군,경상남도,고성군,48820,2806.5,32.0,46808,18942,7481,40.467441462997776,39.49424559180657,visit_care,institution,ltci_midpoint,11.402102262604668,county_median,11.909217437998507,33.42321873974281,1.4232187397428078,2,False,True,2,0.45189560118179994
경상남도|남해군,경상남도,남해군,48840,3037.0,34.0,41143,18171,6564,44.16547164766789,36.12349347861978,visit_care,institution,ltci_midpoint,11.195258478761936,county_median,11.909217437998507,36.16829335920146,2.1682933592014635,3,False,True,2,0.21153927855808963
경상남도|하동군,경상남도,하동군,48850,3168.5,45.0,39596,17739,7003,44.79997979593898,39.47798635774283,visit_care,institution,ltci_midpoint,14.202303929304087,county_median,11.909217437998507,37.73435545229827,0.0,0,False,False,2,0.7870426945327347
경상남도|산청군,경상남도,산청군,48860,2599.0,28.0,32638,15044,6314,46.093510631778905,41.97022068598777,visit_care,institution,ltci_midpoint,10.773374374759522,county_median,11.909217437998507,30.95205612135812,2.952056121358119,3,False,True,2,1.2786949642985335
경상남도|함양군,경상남도,함양군,48870,2274.0,28.0,35141,14871,6012,42.31808998036482,40.427678031067174,visit_care,institution,ltci_midpoint,12.313104661389621,county_median,11.909217437998507,27.081560454008606,0.0,0,False,False,2,0.7425228094989436
경상남도|거창군,경상남도,거창군,48880,3058.5,34.0,58846,20343,7663,34.56989430037726,37.66897704370054,visit_care,institution,ltci_midpoint,11.116560405427496,county_median,11.909217437998507,36.42434153411843,2.424341534118433,3,False,True,2,-0.29402100307493373
경상남도|합천군,경상남도,합천군,48890,2398.0,24.0,38854,18921,8049,48.69768878365162,42.54003488187728,visit_care,institution,ltci_midpoint,10.008340283569641,county_median,11.909217437998507,28.558303416320417,4.558303416320417,5,False,True,2,1.5710334156585803
강원특별자치도|홍천군,강원특별자치도,홍천군,51720,2163.5,25.0,65849,24363,8014,36.998283952679614,32.89414275746008,visit_care,institution,ltci_midpoint,11.555350127108852,county_median,11.909217437998507,25.76559192710977,0.7655919271097709,1,False,True,2,-0.8535249127219697
강원특별자치도|횡성군,강원특별자치도,횡성군,51730,1679.0,19.0,45575,18436,5901,40.45200219418541,32.008027771750925,visit_care,institution,ltci_midpoint,11.316259678379987,county_median,11.909217437998507,19.99557607839949,0.9955760783994911,1,False,True,2,-0.7232864902659932
강원특별자치도|영월군,강원특별자치도,영월군,51750,1378.0,18.0,35714,14054,5502,39.3515148121185,39.14899672691049,visit_care,institution,ltci_midpoint,13.062409288824384,county_median,11.909217437998507,16.410901629561945,0.0,0,False,False,2,0.3107739676569163
강원특별자치도|평창군,강원특별자치도,평창군,51760,1182.5,17.0,39897,15356,5414,38.489109456851395,35.256577233654596,visit_care,institution,ltci_midpoint,14.37632135306554,county_median,11.909217437998507,14.082649620433234,0.0,0,False,False,2,-0.36684967964638276
강원특별자치도|정선군,강원특별자치도,정선군,51770,1063.0,8.0,35128,12956,4985,36.882259166476885,38.47638159925903,visit_care,institution,ltci_midpoint,7.525870178739417,county_median,11.909217437998507,12.659498136592413,4.659498136592413,5,False,True,2,0.012830857190139072
강원특별자치도|철원군,강원특별자치도,철원군,51780,1157.5,19.0,39711,12246,4022,30.837803127596885,32.843377429364686,visit_care,institution,ltci_midpoint,16.414686825053995,county_median,11.909217437998507,13.784919184483272,0.0,0,False,False,2,-1.341660481196371
강원특별자치도|화천군,강원특별자치도,화천군,51790,574.5,4.0,22579,6942,2460,30.745382877895388,35.43647363872083,visit_care,institution,ltci_midpoint,6.962576153176675,county_median,11.909217437998507,6.841845418130142,2.8418454181301422,3,False,True,2,-0.942218229706963
강원특별자치도|양구군,강원특별자치도,양구군,51800,555.0,2.0,20372,5891,1993,28.91714117416061,33.8312680359871,visit_care,institution,ltci_midpoint,3.6036036036036037,county_median,11.909217437998507,6.609615678089171,4.609615678089171,5,False,True,2,-1.3364455246857456
강원특별자치도|인제군,강원특별자치도,인제군,51810,611.0,5.0,30771,8679,3008,28.205128205128204,34.65837078004378,visit_care,institution,ltci_midpoint,8.183306055646481,county_median,11.909217437998507,7.276531854617088,2.2765318546170876,3,False,True,2,-1.2622377577476962
