장기요양기관코드,장기요양기관이름,우편번호,시도코드,시군구코드,법정동코드,시도 시군구 법정동명,지정일자,설치신고일자
11129000231,우리엄마요양원,02871,11,290,131,서울특별시 성북구 보문동2가,2017-01-16,2017-01-16
11129000250,정진요양원,02713,11,290,133,서울특별시 성북구 정릉동,2018-02-01,2018-02-01
11129000273,우리엄마요양원2호점,02871,11,290,131,서울특별시 성북구 보문동2가,2019-02-14,2019-02-14
11129000318,늘푸른요양원,02748,11,290,137,서울특별시 성북구 상월곡동,2020-10-08,2020-10-08
11129000320,성북힐요양원,02878,11,290,101,서울특별시 성북구 성북동,2020-10-29,2020-10-29
11129000330,더 프라임 요양원,02810,11,290,135,서울특별시 성북구 종암동,2021-10-21,2021-10-21
11129000345,정릉노인요양원,02812,11,290,133,서울특별시 성북구 정릉동,2022-08-01,2022-08-01
11129000351,백마요양원,02797,11,290,135,서울특별시 성북구 종암동,2023-02-01,2023-02-01
11129000365,e포근한요양원,02708,11,290,133,서울특별시 성북구 정릉동,2023-10-30,2023-10-20
11129000374,다애요양원,02831,11,290,103,서울특별시 성북구 돈암동,2024-04-01,2024-04-01
11129000376,석관실버홈,02783,11,290,139,서울특별시 성북구 석관동,2024-04-17,2024-04-17
11130500001,강북노인전문요양원,01082,11,305,103,서울특별시 강북구 수유동,2008-06-02,2008-03-04
11130500047,효노인복지센터,01224,11,305,102,서울특별시 강북구 번동,2009-02-16,2009-02-16
11130500064,참사랑노인요양센터,01233,11,305,101,서울특별시 강북구 미아동,2009-07-07,2009-06-30
11130500126,푸른요양원1호점,01081,11,305,103,서울특별시 강북구 수유동,2010-07-16,2010-07-16
11130500169,거목실버홈,01046,11,305,103,서울특별시 강북구 수유동,2013-05-01,2013-05-01
11130500170,거목요양홈,01046,11,305,103,서울특별시 강북구 수유동,2013-05-01,2013-05-01
11130500171,거목노인요양원,01046,11,305,103,서울특별시 강북구 수유동,2013-05-01,2013-05-01
11130500172,강북실버종합복지센터,01141,11,305,101,서울특별시 강북구 미아동,2013-05-16,2013-05-15
11130500219,가온요양원1,01070,11,305,103,서울특별시 강북구 수유동,2015-01-13,2015-01-13
11130500220,가온요양원2,01070,11,305,103,서울특별시 강북구 수유동,2015-01-13,2015-01-13
11130500229,사랑나눔요양원2,01118,11,305,101,서울특별시 강북구 미아동,2015-05-01,2015-05-01
11130500234,봄날북한산요양원,01015,11,305,103,서울특별시 강북구 수유동,2015-07-24,2015-07-24
11130500246,가족사랑요양원,01048,11,305,103,서울특별시 강북구 수유동,2016-06-08,2016-06-08
11130500248,행복한노인요양원2,01111,11,305,103,서울특별시 강북구 수유동,2016-06-17,2016-06-17
11130500250,행복한노인요양원1,01111,11,305,103,서울특별시 강북구 수유동,2016-06-17,2016-06-17
11130500273,가족사랑노인요양센터,01236,11,305,101,서울특별시 강북구 미아동,2017-07-01,2017-07-01
11130500276,행복한노인요양원3,01111,11,305,103,서울특별시 강북구 수유동,2017-08-01,2017-08-01
11130500280,푸른요양원2호점,01081,11,305,103,서울특별시 강북구 수유동,2017-09-01,2017-09-01
11130500290,길재활요양원,01022,11,305,103,서울특별시 강북구 수유동,2018-02-06,2018-02-06
11130500302,강북효심요양원1,01103,11,305,103,서울특별시 강북구 수유동,2018-09-01,2018-09-01
11130500303,강북효심요양원2,01103,11,305,103,서울특별시 강북구 수유동,2018-09-01,2018-09-01
11130500307,강북유진요양원,01103,11,305,103,서울특별시 강북구 수유동,2018-10-01,2018-10-01
11130500309,가인요양원,01033,11,305,103,서울특별시 강북구 수유동,2018-10-01,2018-10-01
11130500329,북부성모요양원,01046,11,305,103,서울특별시 강북구 수유동,2019-08-01,2019-08-01
11130500341,강북하루정요양원,01034,11,305,103,서울특별시 강북구 수유동,2019-12-11,2019-12-11
11130500352,강북중앙요양원,01118,11,305,101,서울특별시 강북구 미아동,2020-05-01,2020-05-01
11130500391,번동자연재활요양원,01224,11,305,102,서울특별시 강북구 번동,2022-11-23,2022-11-01
