법정동_시군구코드,기준연월,시도명,시군구명,65세이상1인세대,65세이상남자1인세대,65세이상여자1인세대
48330,2026-06-30,경상남도,양산시,22020,7653,14367
48720,2026-06-30,경상남도,의령군,5012,1794,3218
48730,2026-06-30,경상남도,함안군,7483,2916,4567
48740,2026-06-30,경상남도,창녕군,9213,3255,5958
48820,2026-06-30,경상남도,고성군,7481,2769,4712
48840,2026-06-30,경상남도,남해군,6564,1993,4571
48850,2026-06-30,경상남도,하동군,7003,2565,4438
48860,2026-06-30,경상남도,산청군,6314,2331,3983
48870,2026-06-30,경상남도,함양군,6012,1933,4079
48880,2026-06-30,경상남도,거창군,7663,2315,5348
48890,2026-06-30,경상남도,합천군,8049,2732,5317
50110,2026-06-30,제주특별자치도,제주시,28560,10638,17922
50130,2026-06-30,제주특별자치도,서귀포시,14483,5435,9048
51110,2026-06-30,강원특별자치도,춘천시,19960,6794,13166
51130,2026-06-30,강원특별자치도,원주시,23947,8760,15187
51150,2026-06-30,강원특별자치도,강릉시,19502,6614,12888
