장기요양기관코드,기관유형코드,기관유형명,정원,현원
11126000271,A03,노인요양시설(개정법),228,224
11126000271,G32,치매전담실가형2실,16,16
11126000284,A04,노인요양공동생활가정,9,9
11126000287,A03,노인요양시설(개정법),54,52
11126000291,A04,노인요양공동생활가정,9,9
11126000292,A04,노인요양공동생활가정,9,9
11126000300,A04,노인요양공동생활가정,9,9
11126000302,A04,노인요양공동생활가정,,8
11126000303,A04,노인요양공동생활가정
11126000309,A04,노인요양공동생활가정,9,9
11126000314,A04,노인요양공동생활가정,9,9
11126000315,A04,노인요양공동생활가정,9
11126000316,A04,노인요양공동생활가정,9,9
11126000322,A03,노인요양시설(개정법),37,34
11126000325,A04,노인요양공동생활가정,9,9
11126000326,A04,노인요양공동생활가정,9,8
11126000333,A04,노인요양공동생활가정,9
11126000336,A04,노인요양공동생활가정,9,9
11126000342,A04,노인요양공동생활가정,9,9
11126000359,A04,노인요양공동생활가정,9,9
11126000361,A04,노인요양공동생활가정,9,9
11126000362,A04,노인요양공동생활가정,9,9
11126000400,A04,노인요양공동생활가정,9,9
11126000406,A04,노인요양공동생활가정,9,8
11126000434,A04,노인요양공동생활가정,9,10
11126000438,A04,노인요양공동생활가정,9,9
11126000442,A03,노인요양시설(개정법),94,91
11126000446,A03,노인요양시설(개정법),23,23
11126000448,A04,노인요양공동생활가정,9,9
11126000450,A03,노인요양시설(개정법),25,24
11126000455,A04,노인요양공동생활가정,9,9
11126000459,A04,노인요양공동생활가정,9,9
11126000468,A03,노인요양시설(개정법),48,48
11126000472,A04,노인요양공동생활가정,9,8
11126000476,A04,노인요양공동생활가정,9,6
11126000483,A04,노인요양공동생활가정,9,9
11126000487,A04,노인요양공동생활가정,9,8
11126000488,A04,노인요양공동생활가정,9,9
11126000508,A04,노인요양공동생활가정,9,9
11126000509,A04,노인요양공동생활가정,9,9
11126000510,A04,노인요양공동생활가정,9,9
11126000530,A04,노인요양공동생활가정,9,8
11126000547,A04,노인요양공동생활가정,9,9
11129000013,A04,노인요양공동생활가정,7,0
11129000018,A03,노인요양시설(개정법),23,17
11129000020,A03,노인요양시설(개정법),114,84
11129000020,A02,노인전문요양시설,,43
11129000021,A03,노인요양시설(개정법),65,46
11129000042,A03,노인요양시설(개정법),54,0
11129000058,A03,노인요양시설(개정법),18,18
11129000070,A04,노인요양공동생활가정,9,9
11129000071,A04,노인요양공동생활가정,9,3
11129000072,A03,노인요양시설(개정법),,28
11129000078,A03,노인요양시설(개정법),120,120
11129000080,A03,노인요양시설(개정법),15,0
11129000100,A03,노인요양시설(개정법),60,58
11129000103,A05,노인요양시설(단기보호 전환),22,19
11129000104,A03,노인요양시설(개정법),29,26
11129000104,A05,노인요양시설(단기보호 전환),,22
11129000110,A04,노인요양공동생활가정,8,5
11129000111,A03,노인요양시설(개정법),29,26
11129000113,A04,노인요양공동생활가정,8,8
11129000114,A04,노인요양공동생활가정,9,8
11129000115,A03,노인요양시설(개정법),110,106
11129000119,A04,노인요양공동생활가정,9,8
11129000127,A03,노인요양시설(개정법),25,19
11129000134,A04,노인요양공동생활가정,9,8
11129000135,A04,노인요양공동생활가정,9,9
11129000139,A04,노인요양공동생활가정,9,7
11129000149,A03,노인요양시설(개정법),49,41
11129000153,A04,노인요양공동생활가정,9,8
11129000157,A04,노인요양공동생활가정,9,9
11129000158,A04,노인요양공동생활가정,9,9
11129000159,A04,노인요양공동생활가정,9,9
11129000167,A03,노인요양시설(개정법),44,40
11129000169,A03,노인요양시설(개정법),36,29
11129000170,A03,노인요양시설(개정법),29,28
11129000172,A04,노인요양공동생활가정,9,9
11129000173,A04,노인요양공동생활가정,9,9
11129000192,A04,노인요양공동생활가정,6,6
11129000194,A04,노인요양공동생활가정,,9
11129000215,A03,노인요양시설(개정법),15,15
11129000216,A03,노인요양시설(개정법),20,18
11129000227,A03,노인요양시설(개정법),29,26
11129000231,A04,노인요양공동생활가정,9,8
11129000237,A03,노인요양시설(개정법),36,34
11129000250,A03,노인요양시설(개정법),68,43
11129000253,A03,노인요양시설(개정법),44,41
11129000264,A04,노인요양공동생활가정,9,6
11129000273,A04,노인요양공동생활가정,9,9
11129000318,A04,노인요양공동생활가정,9,8
11129000320,A03,노인요양시설(개정법),15,14
11129000330,A03,노인요양시설(개정법),49,31
11129000345,A03,노인요양시설(개정법),44,42
11129000351,A03,노인요양시설(개정법),25,18
11130500001,A03,노인요양시설(개정법),80,55
11130500001,A02,노인전문요양시설,,80
11130500002,A01,노인요양시설,138,106
11130500002,A03,노인요양시설(개정법),49,49
11130500035,A04,노인요양공동생활가정,8,0
11130500039,A04,노인요양공동생활가정,8,0
11130500045,A03,노인요양시설(개정법),25,22
11130500047,A04,노인요양공동생활가정,9,8
11130500057,A04,노인요양공동생활가정,9,9
11130500064,A04,노인요양공동생활가정,9,9
11130500068,A04,노인요양공동생활가정,9,9
11130500070,A04,노인요양공동생활가정,7,7
11130500071,A04,노인요양공동생활가정,9,0
11130500072,A04,노인요양공동생활가정,9,0
11130500076,A04,노인요양공동생활가정,9,9
11130500077,A04,노인요양공동생활가정,9,8
11130500097,A04,노인요양공동생활가정,9,6
11130500101,A04,노인요양공동생활가정,9,7
11130500102,A04,노인요양공동생활가정,9,4
11130500103,A04,노인요양공동생활가정,9,8
11130500112,A05,노인요양시설(단기보호 전환),9,9
11130500112,A04,노인요양공동생활가정,,9
11130500113,A05,노인요양시설(단기보호 전환)
11130500113,A04,노인요양공동생활가정,,9
11130500114,A05,노인요양시설(단기보호 전환),21,17
11130500115,A05,노인요양시설(단기보호 전환),36,34
11130500116,A05,노인요양시설(단기보호 전환),15,13
11130500117,A05,노인요양시설(단기보호 전환),18,16
11130500118,A03,노인요양시설(개정법),12,17
11130500118,A05,노인요양시설(단기보호 전환),19,18
11130500123,A04,노인요양공동생활가정,9,6
11130500124,A04,노인요양공동생활가정,9,9
11130500126,A03,노인요양시설(개정법),29,26
11130500134,A04,노인요양공동생활가정,9,9
11130500150,A04,노인요양공동생활가정,9,9
11130500152,A04,노인요양공동생활가정,9,9
11130500153,A05,노인요양시설(단기보호 전환),21,21
11130500153,A03,노인요양시설(개정법),19,17
11130500154,A04,노인요양공동생활가정,9,9
11130500160,A04,노인요양공동생활가정,9,9
11130500169,A04,노인요양공동생활가정,9,6
