run_id,region_code,sido_name,sigungu_name,service,resource_type,strategy,demand_value,baseline_resource,allocated_resource,after_resource,current_supply_rate,after_supply_rate,continuous_gap,after_gap,integer_need,after_integer_need,provider_missing,after_provider_missing,allocation_order,allocation_reason
20260727T063718Z_visit_care_institution_demand_proportional,52790,전북특별자치도,고창군,visit_care,institution,demand_proportional,3457.5,34.0,1,35.0,9.833694866232827,10.122921185827911,7.176119291879843,6.176119291879843,8,7,False,False,5,수요비례 최대잔여·재배분
20260727T063718Z_visit_care_institution_demand_proportional,52800,전북특별자치도,부안군,visit_care,institution,demand_proportional,2577.5,35.0,0,35.0,13.579049466537343,13.579049466537343,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,41800,경기도,연천군,visit_care,institution,shortage_priority,1694.5,27.0,0,27.0,15.933903806432577,15.933903806432577,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,41820,경기도,가평군,visit_care,institution,shortage_priority,2497.5,33.0,0,33.0,13.213213213213212,13.213213213213212,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,41830,경기도,양평군,visit_care,institution,shortage_priority,4810.5,74.0,0,74.0,15.383016318470014,15.383016318470014,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,43720,충청북도,보은군,visit_care,institution,shortage_priority,1853.5,22.0,0,22.0,11.869436201780417,11.869436201780417,0.07373452133023406,0.07373452133023406,1,1,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,43730,충청북도,옥천군,visit_care,institution,shortage_priority,2494.5,29.0,0,29.0,11.625576267789137,11.625576267789137,0.7075428990872759,0.7075428990872759,1,1,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,43740,충청북도,영동군,visit_care,institution,shortage_priority,2642.5,25.0,1,26.0,9.460737937559129,9.839167455061494,6.4701070799110525,5.4701070799110525,7,6,False,False,4,잔여 정수형 필요량 최대
20260727T063718Z_visit_care_institution_shortage_priority,43745,충청북도,증평군,visit_care,institution,shortage_priority,1208.5,13.0,0,13.0,10.757136946628052,10.757136946628052,1.392289273821195,1.392289273821195,2,2,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,43750,충청북도,진천군,visit_care,institution,shortage_priority,1967.5,20.0,0,20.0,10.165184243964422,10.165184243964422,3.431385309262062,3.431385309262062,4,4,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,43760,충청북도,괴산군,visit_care,institution,shortage_priority,1594.0,21.0,0,21.0,13.174404015056462,13.174404015056462,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,43770,충청북도,음성군,visit_care,institution,shortage_priority,2769.5,32.0,0,32.0,11.55443220797978,11.55443220797978,0.9825776945368645,0.9825776945368645,1,1,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,43800,충청북도,단양군,visit_care,institution,shortage_priority,1098.5,13.0,0,13.0,11.834319526627219,11.834319526627219,0.08227535564135913,0.08227535564135913,1,1,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,44710,충청남도,금산군,visit_care,institution,shortage_priority,2943.0,44.0,0,44.0,14.950730547060823,14.950730547060823,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,44760,충청남도,부여군,visit_care,institution,shortage_priority,3443.0,41.0,0,41.0,11.908219575951204,11.908219575951204,0.0034356390288579064,0.0034356390288579064,1,1,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,44770,충청남도,서천군,visit_care,institution,shortage_priority,3164.5,51.0,0,51.0,16.11629009322168,16.11629009322168,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,44790,충청남도,청양군,visit_care,institution,shortage_priority,1595.0,17.0,0,17.0,10.65830721003135,10.65830721003135,1.9952018136076184,1.9952018136076184,2,2,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,44800,충청남도,홍성군,visit_care,institution,shortage_priority,4122.0,54.0,0,54.0,13.100436681222707,13.100436681222707,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,44810,충청남도,예산군,visit_care,institution,shortage_priority,3516.0,46.0,0,46.0,13.083048919226393,13.083048919226393,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,44825,충청남도,태안군,visit_care,institution,shortage_priority,2568.0,35.0,0,35.0,13.629283489096572,13.629283489096572,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,46710,전라남도,담양군,visit_care,institution,shortage_priority,2475.5,28.0,0,28.0,11.310846293678045,11.310846293678045,1.4812677677653063,1.4812677677653063,2,2,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,46720,전라남도,곡성군,visit_care,institution,shortage_priority,1768.5,18.0,0,18.0,10.178117048346056,10.178117048346056,3.061451039100362,3.061451039100362,4,4,False,False,,
