longTermAdminSym_request,adminPttnCd_request,siDoCd_request,siGunGuCd_request,adminNm_request,resultCode,resultMsg,adminNm,adminPttnCd,longTermAdminSym,longTermPeribRgtDt,siDoCd,siGunGuCd,stpRptDt
,,,,,,,부산광역시 노인건강센터,G31,12653000078,20110407,26,530,20110407
,,,,,,,부산광역시 노인건강센터,G32,12653000078,20110407,26,530,20110407
,,,,,,,공립명지치매전문주야간보호센터,H31,22644000055,20220720,26,440,20220311
,,,,,,,송도사랑요양원,A03,12614000068,20190903,26,140,20190903
,,,,,,,성지노인요양원,A04,12626000106,20091214,26,260,20091214
,,,,,,,참벗재가복지센터,B01,22611000102,20210916,26,110,20210906
,,,,,,,선한데이케어센터,B02,22611000105,20220203,26,110,20220119
,,,,,,,행복한재활주간보호센터,B03,22611000117,20260408,26,110,20260123
,,,,,,,편안한실버케어재가센터,B05,22623000405,20220420,26,230,20220420
,,,,,,,건강한의료기,B06,22617000196,20210104,26,170,20201210
,,,,,,,행복나눔재가복지센터,C01,32611000040,20091218,26,110,20091218
,,,,,,,로드웨이 노인복지센터,C02,32614000023,20080811,26,140,20080811
,,,,,,,예사랑노인복지센터,C03,32617000100,20140902,26,170,20140902
,,,,,,,사)부산진구노인요양센터부설 행복한재가,C05,32623000150,20100201,26,230,20100201
,,,,,,,효진재가노인복지센터,C06,32611000098,20191212,26,110,20191212
,,,,,,,부산연제재활 주야간보호센터,H31,22647000264,20251208,26,470,20251117
,,,,,,,송원노인전문요양원,A03,12617000001,20080530,26,170,20060906
,,,,,,,참사랑실버홈,A04,12629000165,20170619,26,290,20170619
,,,,,,,선한데이케어센터,B01,22611000105,20220203,26,110,20220119
,,,,,,,성부재가노인복지센터,B02,22611000107,20220203,26,110,20220121
,,,,,,,인창서구재가노인복지센터,B03,22614000050,20130601,26,140,20130601
,,,,,,,정샘간호재가센터,B05,22623000417,20230119,26,230,20230119
,,,,,,,민영복지용구,B06,22617000209,20240326,26,170,20240315
,,,,,,,현대종합복지센터,C01,32611000042,20091229,26,110,20091229
,,,,,,,세광재가노인복지센터,C02,32614000031,20081126,26,140,20081120
,,,,,,,대주 재가복지센터,C03,32617000136,20170701,26,170,20170701
,,,,,,,정드림재가복지센터,C05,32623000303,20180312,26,230,20180312
,,,,,,,동진의료기,C06,32614000036,20090701,26,140,20090701
,,,,,,,(주)케어링 주간보호센터 부산 수영점,H31,22650000151,20221031,26,500,20221031
,,,,,,,인창동구노인요양원,A03,12617000074,20100827,26,170,20100827
,,,,,,,편안한노인공동요양원,A04,12632000284,20191211,26,320,20191211
,,,,,,,스마일재가노인복지센터,B01,22611000106,20220331,26,110,20220318
,,,,,,,한울타리노인복지센터,B02,22611000109,20230501,26,110,20230406
,,,,,,,송도노인주간보호센터,B03,22614000084,20201116,26,140,20200921
,,,,,,,부산에스엠방문요양간호센터,B05,22623000482,20250522,26,230,20250522
,,,,,,,희망복지노인재가센터,B06,22617000214,20241216,26,170,20241216
,,,,,,,대현재가노인복지센터,C01,32611000059,20140401,26,110,20140401
,,,,,,,자애노인종합복지센터,C02,32614000057,20151228,26,140,20151228
,,,,,,,동구케어 노인주간보호센터,C03,32617000146,20180615,26,170,20180615
,,,,,,,새원재가노인복지센터,C05,32626000218,20160630,26,260,20160630
,,,,,,,(주)가온누리종합복지센터,C06,32614000076,20191212,26,140,20191212
,,,,,,,"""(기장)효사랑데이케어센터2",H31,22671000148,20170711,26,710,20170711
,,,,,,,파랑새노인건강센터,A03,12620000004,20080530,26,200,20030509
,,,,,,,화명은혜공동생활가정,A04,12632000334,20230721,26,320,20230630
,,,,,,,성부재가노인복지센터,B01,22611000107,20220203,26,110,20220121
,,,,,,,신창통합재가복지센터,B02,22611000111,20231010,26,110,20230720
,,,,,,,서구케어재가노인주간보호센터,B03,22614000093,20231222,26,140,20231129
,,,,,,,간호돌봄재가복지센터,B05,22626000324,20211217,26,260,20211101
,,,,,,,닥터김노인요양센터,A03,12711000113,20131101,27,110,20131101
,,,,,,,남산요양원,A04,12711000079,20100608,27,110,20100608
,,,,,,,삼덕노인복지센터,B01,22711000002,20080529,27,110,20070419
,,,,,,,삼덕노인복지센터,B02,22711000002,20080529,27,110,20070419
,,,,,,,삼덕노인복지센터,B03,22711000002,20080529,27,110,20070419
,,,,,,,더편한주간보호센터,B04,22729000563,20200901,27,290,20200901
,,,,,,,손주간호사 재가노인복지센터,B05,22714000605,20221101,27,140,20221101
,,,,,,,신광메디칼,B06,22714000604,20221101,27,140,20221101
,,,,,,,"나눔 충,효,예 복지라이프 요양보호사 파견센타",C01,32711000016,20080610,27,110,20080602
,,,,,,,"나눔 충,효,예 복지라이프 요양보호사 파견센타",C02,32711000016,20080610,27,110,20080602
,,,,,,,우리장기요양센터,C03,32711000078,20100331,27,110,20100331
,,,,,,,한마음주간보호센터,C04,32723000554,20191220,27,230,20191220
,,,,,,,율하실버케어,C05,32714000263,20130213,27,140,20130213
,,,,,,,신진의료기,C06,32711000024,20080714,27,110,20080714
,,,,,,,효성실버타운,G31,12723000107,20090812,27,230,20090811
,,,,,,,효성실버타운,G32,12723000107,20090812,27,230,20090811
,,,,,,,효성실버타운,G33,12723000107,20090812,27,230,20090811
,,,,,,,동구노인장기요양센터,H31,22714000367,20160502,27,140,20160502
,,,,,,,선정노인복지센터,I31,32714000310,20140728,27,140,20140728
,,,,,,,드림실버요양복지센터 2관,S41,12726000275,20170612,27,260,20170612
,,,,,,,보람요양원,A03,12711000132,20160112,27,110,20160112
,,,,,,,문성요양복지센터,A04,12711000091,20110527,27,110,20110527
,,,,,,,어르신마을 노인복지센터,B01,22711000005,20080529,27,110,19990527
,,,,,,,성심노인복지센터,B02,22711000044,20090107,27,110,20090107
,,,,,,,어르신마을 노인복지센터,B03,22711000005,20080529,27,110,19990527
,,,,,,,대구 신세계재가노인복지센터,B04,22729000617,20220601,27,290,20220601
,,,,,,,대구다은재가방문요양간호센터,B05,22714000620,20230501,27,140,20230501
,,,,,,,가호메디칼,B06,22714000626,20230501,27,140,20230501
,,,,,,,경북베델 재가장기요양기관,C01,32711000019,20080618,27,110,20080610
,,,,,,,동산홈케어,C02,32711000046,20090219,27,110,20090219
,,,,,,,닥터김노인요양센터,C03,32711000112,20131101,27,110,20131101
,,,,,,,엘레오스노인요양센터,C04,32726000058,20081014,27,260,20081014
,,,,,,,정다운실버센터,C05,32714000311,20140821,27,140,20140821
,,,,,,,이원건강의료기,C06,32711000028,20080728,27,110,20080728
,,,,,,,상록수 실버타운,G31,12729000252,20120201,27,290,20120201
,,,,,,,상록수 실버타운,G32,12729000252,20120201,27,290,20120201
,,,,,,,상록수 실버타운,G33,12729000252,20120201,27,290,20120201
,,,,,,,동구공립재가노인복지센터,H31,22714000615,20221228,27,140,20221228
,,,,,,,늘푸른노인복지센터,I31,32729000350,20151012,27,290,20151012
,,,,,,,가족사랑요양원+,S41,12771000221,20210727,27,710,20210727
,,,,,,,우리요양원,A03,12711000154,20190820,27,110,20190820
,,,,,,,팔공어르신요양원 동촌센터,A04,12714000265,20130319,27,140,20130319
,,,,,,,성심노인복지센터,B01,22711000044,20090107,27,110,20090107
,,,,,,,비지팅엔젤스 대구중구방문요양지점,B02,22711000167,20210330,27,110,20210330
,,,,,,,청춘재활주간보호센터,B03,22711000159,20191202,27,110,20191202
,,,,,,,군위군재가노인지원센터,B04,24772000033,20121109,27,720,20121108
,,,,,,,대구미림재가방문요양간호센터,B05,22717000349,20191010,27,170,20191010
,,,,,,,대경메디칼,B06,22714000631,20230701,27,140,20230701
,,,,,,,동산홈케어,C01,32711000046,20090219,27,110,20090219
,,,,,,,우리장기요양센터,C02,32711000078,20100331,27,110,20100331
,,,,,,,문성주간보호센터,C03,32711000130,20151029,27,110,20110527
,,,,,,,감동노인복지센터,C04,32729000217,20110214,27,290,20110214
,,,,,,,행운이365노인복지센터,C05,32714000390,20160907,27,140,20160907
,,,,,,,영남메디칼,C06,32711000051,20090519,27,110,20090519
,,,,,,,대곡가톨릭요양원,G31,12729000621,20220601,27,290,20220601
