longTermAdminSym_request,adminPttnCd_request,siDoCd_request,siGunGuCd_request,adminNm_request,resultCode,resultMsg,adminPttnCd,fmNowPer,fmRsvPer,longTermAdminSym,maNowPer,maRsvPer,totPer
14611000358,G33,12,110,산책하는요양원,00,NORMAL SERVICE.,G33,10,,14611000358,,,10
14677000160,G33,12,740,도양노인건강복지타운 치매전문요양원,00,NORMAL SERVICE.,G33,12,,14677000160,,,12
14679000117,G33,12,760,현대노인요양원,00,NORMAL SERVICE.,G33,0,0,14679000117,6,,8
14681000051,G33,12,780,강진효요양원,00,NORMAL SERVICE.,G33,,,14681000051,3,,4
14677000160,G34,12,740,도양노인건강복지타운 치매전문요양원,00,NORMAL SERVICE.,G34,,,14677000160,6,,12
14679000117,G34,12,760,현대노인요양원,00,NORMAL SERVICE.,G34,0,,14679000117,12,,14
14681000051,G34,12,780,강진효요양원,00,NORMAL SERVICE.,G34,2,,14681000051,,,4
14677000160,G35,12,740,도양노인건강복지타운 치매전문요양원,00,NORMAL SERVICE.,G35,0,,14677000160,,,12
14679000117,G35,12,760,현대노인요양원,00,NORMAL SERVICE.,G35,8,,14679000117,0,,8
14679000117,G36,12,760,현대노인요양원,00,NORMAL SERVICE.,G36,11,,14679000117,0,,16
22915500115,H31,12,270,인애W재가노인지원센터,00,NORMAL SERVICE.,H31,0,0,22915500115,0,,25
22917000666,H31,12,300,사랑방주야간보호센터,00,NORMAL SERVICE.,H31,10,,22917000666,3,,15
24613000316,H31,12,130,여수시 치매어르신 주야간보호센터 지혜마루,00,NORMAL SERVICE.,H31,0,0,24613000316,0,0,20
24615000385,H31,12,150,재단법인 전라남도사회서비스원 순천시 실버주야간보호센터,00,NORMAL SERVICE.,H31,8,0,24615000385,7,1,15
24615000419,H31,12,150,더편한데이케어,00,NORMAL SERVICE.,H31,0,0,24615000419,0,0,3
34623000025,I31,12,190,광양희망노인복지센터,00,NORMAL SERVICE.,I31,5,,34623000025,3,,12
14611000001,M31,12,810,자혜요양원,00,NORMAL SERVICE.,M31,8,,14611000001,0,,9
14613000009,M31,12,130,마니원(입소),00,NORMAL SERVICE.,M31,10,1,14613000009,0,,10
14617000005,M31,12,170,나주시노인요양원,00,NORMAL SERVICE.,M31,12,0,14617000005,0,0,12
14611000001,M32,12,810,자혜요양원,00,NORMAL SERVICE.,M32,0,,14611000001,6,,7
14613000122,M32,12,130,소나무노인요양시설,00,NORMAL SERVICE.,M32,10,0,14613000122,2,,12
12917000530,S41,12,300,오손도손요양원,00,NORMAL SERVICE.,S41,6,2,12917000530,1,1,9
14613000008,S41,12,130,밀알노인요양공동생활가정,00,NORMAL SERVICE.,S41,9,0,14613000008,0,0,9
14681000017,S41,12,780,도암 소망의집,00,NORMAL SERVICE.,S41,9,,14681000017,0,,9
14684000082,S41,12,810,다솜노인요양공동생활가정,00,NORMAL SERVICE.,S41,7,1,14684000082,1,,9
14684000116,S41,12,810,엄마의봄날 노인요양공동생활가정,00,NORMAL SERVICE.,S41,9,,14684000116,,,9
12611000104,A03,26,110,굿모닝노인요양원,00,NORMAL SERVICE.,A03,56,4,12611000104,13,2,81
12614000008,A03,26,140,안나노인건강센터,00,NORMAL SERVICE.,A03,49,,12614000008,9,,80
12614000053,A03,26,140,실버웰요양센터,00,NORMAL SERVICE.,A03,36,0,12614000053,13,0,150
12614000068,A03,26,140,송도사랑요양원,00,NORMAL SERVICE.,A03,79,8,12614000068,20,5,100
12617000001,A03,26,170,송원노인전문요양원,00,NORMAL SERVICE.,A03,67,6,12617000001,26,5,120
12617000074,A03,26,170,인창동구노인요양원,00,NORMAL SERVICE.,A03,108,2,12617000074,21,18,144
12620000004,A03,26,200,파랑새노인건강센터,00,NORMAL SERVICE.,A03,66,0,12620000004,22,0,123
12617000090,A04,26,170,지혜실버홈,00,NORMAL SERVICE.,A04,5,0,12617000090,2,0,9
12623000091,A04,26,230,소망노인복지센터,00,NORMAL SERVICE.,A04,9,,12623000091,0,,9
12623000281,A04,26,230,새롬노인요양공동생활가정,00,NORMAL SERVICE.,A04,7,0,12623000281,2,0,9
12626000106,A04,26,260,성지노인요양원,00,NORMAL SERVICE.,A04,5,3,12626000106,4,3,9
12629000165,A04,26,290,참사랑실버홈,00,NORMAL SERVICE.,A04,5,0,12629000165,4,0,9
12632000284,A04,26,320,편안한노인공동요양원,00,NORMAL SERVICE.,A04,4,0,12632000284,1,0,9
12632000334,A04,26,320,화명은혜공동생활가정,00,NORMAL SERVICE.,A04,9,0,12632000334,0,,9
22611000001,B01,26,110,중구재가노인지원서비스센터,00,NORMAL SERVICE.,B01,40,,22611000001,10,,0
22611000100,B01,26,110,우리재가복지센터,00,NORMAL SERVICE.,B01,44,0,22611000100,22,0,0
22611000101,B01,26,110,(주)돌보미재가복지센터,00,NORMAL SERVICE.,B01,29,0,22611000101,10,0,0
22611000102,B01,26,110,참벗재가복지센터,00,NORMAL SERVICE.,B01,10,,22611000102,8,,0
22611000105,B01,26,110,선한데이케어센터,00,NORMAL SERVICE.,B01,2,,22611000105,2,,0
22611000106,B01,26,110,스마일재가노인복지센터,00,NORMAL SERVICE.,B01,,5,22611000106,,3,0
22611000107,B01,26,110,성부재가노인복지센터,00,NORMAL SERVICE.,B01,10,,22611000107,5,,0
22611000100,B02,26,110,우리재가복지센터,00,NORMAL SERVICE.,B02,,,22611000100,,,0
22611000101,B02,26,110,(주)돌보미재가복지센터,00,NORMAL SERVICE.,B02,0,1,22611000101,0,1,0
22611000102,B02,26,110,참벗재가복지센터,00,NORMAL SERVICE.,B02,,,22611000102,,,0
22611000105,B02,26,110,선한데이케어센터,00,NORMAL SERVICE.,B02,,,22611000105,,,0
22611000107,B02,26,110,성부재가노인복지센터,00,NORMAL SERVICE.,B02,0,,22611000107,0,,0
22611000109,B02,26,110,한울타리노인복지센터,00,NORMAL SERVICE.,B02,,,22611000109,,,0
