longTermAdminSym_request,adminPttnCd_request,siDoCd_request,siGunGuCd_request,adminNm_request,resultCode,resultMsg,BDongCd,HDongCd,adminFdatType,adminNm,adminPttnCd,detailAddr,fl,gunmulMlno,gunmulSlno,hmPostNo,locTelNo_1,locTelNo_2,locTelNo_3,longTermAdminSym,longTermPeribRgtDt,riCd,roadNmCd,siDoCd,siGunGuCd,stpRptDt
21111000066,H31,11,110,보현데이케어센터,00,NORMAL SERVICE.,183,560,3,보현데이케어센터,H31,562번지 14호,,21,22,03002,02,394,5511,21111000066,20110602,00,111104100514,11,110,20110602
21114000036,H31,11,140,신당데이케어센터,00,NORMAL SERVICE.,162,620,2,신당데이케어센터,H31,337번지 6호,,6,0,04608,02,2231,1949,21114000036,20100820,00,111404103041,11,140,20100820
21120000068,H31,11,200,구립성수1가2동서울숲데이케어센터,00,NORMAL SERVICE.,114,660,2,구립성수1가2동서울숲데이케어센터,H31,,3,3,0,04768,02,464,4477,21120000068,20091216,00,112004109454,11,200,20091216
21130500237,H31,11,305,사회복지법인 운가자비원 운가데이케어센터,00,NORMAL SERVICE.,103,610,3,사회복지법인 운가자비원 운가데이케어센터,H31,,1층,5,0,01041,02,903,1720,21130500237,20150921,00,113054124174,11,305,20150921
21141000342,H32,11,410,구립가재울데이케어센터,00,NORMAL SERVICE.,120,690,2,구립가재울데이케어센터,H32,,,11,0,03712,02,6956,2663,21141000342,20260401,00,114104136082,11,410,20260401
21159000283,H32,11,590,굿모닝동작데이케어센터,00,NORMAL SERVICE.,102,550,4,굿모닝동작데이케어센터,H32,,4,121,0,06950,02,3280,7090,21159000283,20220701,00,115903119005,11,590,20220701
11138000217,M31,11,380,노블케어스,00,NORMAL SERVICE.,102,510,4,노블케어스,M31,,,353,0,03458,02,391,0006,11138000217,20131108,00,113803005055,11,380,20131108
11130500229,S41,11,305,사랑나눔요양원2,00,NORMAL SERVICE.,101,535,3,사랑나눔요양원2,S41,,4,243,0,01118,02,999,1366,11130500229,20150501,00,113053005039,11,305,20150501
11141000170,S41,11,410,중앙실버노인요양공동생활가정,00,NORMAL SERVICE.,102,565,3,중앙실버노인요양공동생활가정,S41,,,5,25,03741,02,362,9269,11141000170,20140103,00,114104136366,11,410,20140103
11168000127,S41,11,680,구립대치노인요양센터,00,NORMAL SERVICE.,106,600,2,구립대치노인요양센터,S41,901번지 4호,,22,0,06196,02,564,0109,11168000127,20110830,00,116804166656,11,680,20110830
12911000006,A03,12,210,아가페실버센터,00,NORMAL SERVICE.,108,545,3,아가페실버센터,A03,,,7,0,61434,062,232,4959,12911000006,20080527,00,122104277074,12,210,20070601
12911000013,A03,12,210,꽃메요양원,00,NORMAL SERVICE.,126,730,3,꽃메요양원,A03,,,28,0,61510,062,224,5454,12911000013,20080529,00,122104277276,12,210,20080317
12911000022,A03,12,210,천혜경로원,00,NORMAL SERVICE.,122,685,3,천혜경로원,A03,654번지 1호,,720,0,61457,062,222,4013,12911000022,20080530,00,122103159003,12,210,20070102
12911000052,A03,12,210,용연실버빌,00,NORMAL SERVICE.,120,740,3,용연실버빌,A03,448번지 5호,,197,0,61512,062,233,8575,12911000052,20081031,00,122103159009,12,210,20081028
12911000086,A03,12,210,나눔요양원,00,NORMAL SERVICE.,109,560,4,나눔요양원,A03,,,230,0,61422,062,224,2566,12911000086,20100301,00,122103009024,12,210,20100301
12911000256,A03,12,210,해피맘요양원,00,NORMAL SERVICE.,124,740,3,해피맘요양원,A03,,,136,7,61512,062,229,3004,12911000256,20131202,00,122103159003,12,210,20131202
12911000096,A04,12,210,효드림노인복지센터,00,NORMAL SERVICE.,122,685,4,효드림노인복지센터,A04,71번지 3호,,7,0,61489,062,233,9001,12911000096,20140529,00,122104277151,12,210,20140529
12911000254,A04,12,210,엠마의집,00,NORMAL SERVICE.,119,740,4,엠마의집,A04,,,32,0,61502,062,381,5095,12911000254,20131129,00,122103159015,12,210,20131129
12915500209,A04,12,270,알곡사랑요양원,00,NORMAL SERVICE.,127,730,4,알곡사랑요양원,A04,,,32,9,61757,062,655,2216,12915500209,20151110,00,122704283556,12,270,20151110
12917000275,A04,12,300,현대실버빌,00,NORMAL SERVICE.,110,620,4,현대실버빌,A04,,,100,0,61176,062,267,9002,12917000275,20120201,00,123003162084,12,300,20120201
12917000295,A04,12,300,정드림케어하우스,00,NORMAL SERVICE.,128,696,4,정드림케어하우스,A04,,6,387,0,61074,062,571,1950,12917000295,20130102,00,123003162082,12,300,20130102
22911000007,B01,12,210,아가페실버센터,00,NORMAL SERVICE.,108,545,3,아가페실버센터,B01,154번지 27호,,7,0,61434,062,232,4959,22911000007,20080527,00,122104277074,12,210,20070601
22911000009,B01,12,210,C.C.C.동구노인복지센터,00,NORMAL SERVICE.,108,545,3,C.C.C.동구노인복지센터,B01,154번지 170호,,8,0,61434,062,232,4950,22911000009,20080619,00,122104277074,12,210,20030301
22911000014,B01,12,210,꽃메요양원,00,NORMAL SERVICE.,126,730,3,꽃메요양원,B01,,,28,0,61510,062,224,5454,22911000014,20080529,00,122104277276,12,210,20080317
22911000048,B01,12,210,대해노인복지센터,00,NORMAL SERVICE.,119,730,3,대해노인복지센터,B01,532번지 88호,,11,20,61498,062,234,2213,22911000048,20081006,00,122104277044,12,210,20081006
22911000287,B01,12,210,선인종합재가센터,00,NORMAL SERVICE.,126,740,3,선인종합재가센터,B01,,3,355,0,61504,062,236,1117,22911000287,20161229,00,122103009009,12,210,20161229
22911000009,B02,12,210,C.C.C.동구노인복지센터,00,NORMAL SERVICE.,108,545,3,C.C.C.동구노인복지센터,B02,154번지 170호,,8,0,61434,062,232,4950,22911000009,20080619,00,122104277074,12,210,20030301
22911000048,B02,12,210,대해노인복지센터,00,NORMAL SERVICE.,119,730,3,대해노인복지센터,B02,532번지 88호,,11,20,61498,062,234,2213,22911000048,20081006,00,122104277044,12,210,20081006
22911000312,B02,12,210,예향노인복지센터,00,NORMAL SERVICE.,119,730,3,예향노인복지센터,B02,,2,7,11,61498,062,229,7100,22911000312,20190905,00,122104277044,12,210,20190905
22911000326,B02,12,210,동구천사노인복지센터,00,NORMAL SERVICE.,122,710,4,동구천사노인복지센터,B02,,2,6,0,61462,062,222,2300,22911000326,20201218,00,122104277209,12,210,20201209
22911000339,B02,12,210,다정한노인재가복지센터,00,NORMAL SERVICE.,110,600,4,다정한노인재가복지센터,B02,,1,1,10,61411,062,265,6491,22911000339,20220824,00,122104277249,12,210,20220714
22911000009,B03,12,210,C.C.C.동구노인복지센터,00,NORMAL SERVICE.,108,545,3,C.C.C.동구노인복지센터,B03,154번지 170호,,8,0,61434,062,232,4950,22911000009,20080619,00,122104277074,12,210,20030301
22911000014,B03,12,210,꽃메요양원,00,NORMAL SERVICE.,126,730,3,꽃메요양원,B03,,,28,0,61510,062,224,5454,22911000014,20080529,00,122104277276,12,210,20080317
22911000048,B03,12,210,대해노인복지센터,00,NORMAL SERVICE.,119,730,3,대해노인복지센터,B03,532번지 88호,,11,20,61498,062,234,2213,22911000048,20081006,00,122104277044,12,210,20081006
22911000327,B03,12,210,자연숲노인복지센터,00,NORMAL SERVICE.,123,740,4,자연숲노인복지센터,B03,,,20,10,61512,062,233,8899,22911000327,20210318,00,122104277188,12,210,20210219
22911000334,B03,12,210,계림노인주간보호센터,00,NORMAL SERVICE.,109,570,4,계림노인주간보호센터,B03,,1,412,0,61417,062,223,3348,22911000334,20211228,00,122103009021,12,210,20211202
24681000003,B04,12,780,강진노인복지센터,00,NORMAL SERVICE.,250,250,2,강진노인복지센터,B04,,,10,0,59233,061,433,8006,24681000003,20080603,22,127804679274,12,780,20080526
24687000001,B04,12,830,청람노인복지센터,00,NORMAL SERVICE.,250,250,3,청람노인복지센터,B04,,,233,16,57035,061,352,3275,24687000001,20080527,00,128303298028,12,830,20080523
24689000091,B04,12,850,어르신케어 종합복지센터 효드림,00,NORMAL SERVICE.,256,256,4,어르신케어 종합복지센터 효드림,B04,,,416,4,59154,061,554,1455,24689000091,20210928,24,128503300010,12,850,20210928
22911000312,B05,12,210,예향노인복지센터,00,NORMAL SERVICE.,119,730,3,예향노인복지센터,B05,,2,7,11,61498,062,229,7100,22911000312,20190905,00,122104277044,12,210,20190905
22911000349,B05,12,210,보라방문간호센터,00,NORMAL SERVICE.,123,740,4,보라방문간호센터,B05,,,377,0,61514,062,222,0855,22911000349,20230830,00,122103159003,12,210,20230808
22911000356,B05,12,210,뉴정나눔노인복지센터,00,NORMAL SERVICE.,119,730,4,뉴정나눔노인복지센터,B05,,,1,28,61498,062,461,7488,22911000356,20240927,00,122104277045,12,210,20240909
22914000463,B05,12,240,동행노인재가복지센터,00,NORMAL SERVICE.,119,780,4,동행노인재가복지센터,B05,,,4,0,61988,062,371,4409,22914000463,20210201,00,122404280525,12,240,20201222
