year,province,sigungu,kosis_region_code,unique_benefit_users_total,home_service_user_sum,home_service_days,home_provider_count_sum,facility_service_user_sum,facility_service_days,facility_provider_count_sum,facility_user_share_proxy_pct,home_user_share_proxy_pct
2013,경북,안동시,15350AC400N105,2411.0,3235.0,272301.0,347.0,1121.0,225366.0,176.0,46.49523019493986,134.17669017005392
2013,경북,영덕군,15350AC400N116,759.0,853.0,87377.0,167.0,292.0,68300.0,66.0,38.47167325428195,112.38471673254283
2013,경북,영양군,15350AC400N115,416.0,313.0,40339.0,98.0,251.0,53978.0,35.0,60.33653846153846,75.24038461538461
2013,경북,영주시,15350AC400N107,1560.0,1399.0,153116.0,259.0,802.0,201682.0,94.0,51.41025641025641,89.67948717948718
2013,경북,영천시,15350AC400N108,1722.0,2654.0,240031.0,272.0,583.0,110704.0,133.0,33.85598141695703,154.12311265969802
2013,경북,예천군,15350AC400N121,968.0,1072.0,108960.0,268.0,401.0,91481.0,143.0,41.425619834710744,110.74380165289257
2013,경북,울릉군,15350AC400N124,84.0,52.0,5649.0,37.0,56.0,15582.0,17.0,66.66666666666666,61.904761904761905
2013,경북,울진군,15350AC400N123,900.0,1084.0,109748.0,191.0,273.0,60626.0,94.0,30.333333333333336,120.44444444444444
2013,경북,의성군,15350AC400N113,1319.0,1553.0,132396.0,321.0,671.0,148493.0,157.0,50.87187263078089,117.74071266110691
2013,경북,청도군,15350AC400N117,1288.0,1913.0,177381.0,237.0,571.0,107425.0,97.0,44.33229813664597,148.5248447204969
2013,경북,청송군,15350AC400N114,597.0,522.0,49497.0,126.0,335.0,79177.0,64.0,56.11390284757118,87.43718592964824
2013,경북,칠곡군,15350AC400N120,1004.0,1110.0,109153.0,304.0,559.0,129534.0,143.0,55.677290836653384,110.55776892430278
2013,경북,포항시남구,15350AC400N101,1636.0,2166.0,206160.0,369.0,764.0,138795.0,124.0,46.69926650366748,132.3960880195599
2013,경북,포항시북구,15350AC400N102,1727.0,2303.0,221578.0,381.0,746.0,143347.0,157.0,43.196294151708166,133.35263462651997
2013,광주,광산구,15350AC400E105,2165.0,3025.0,271435.0,631.0,967.0,193302.0,259.0,44.665127020785214,139.7228637413395
2013,광주,남구,15350AC400E103,2000.0,2792.0,260995.0,569.0,794.0,159477.0,190.0,39.7,139.6
2013,광주,동구,15350AC400E101,1225.0,1730.0,154701.0,396.0,464.0,101474.0,144.0,37.87755102040816,141.22448979591837
2013,광주,북구,15350AC400E104,3149.0,4406.0,400529.0,749.0,1353.0,280979.0,303.0,42.96602095903461,139.9174341060654
2013,광주,서구,15350AC400E102,2123.0,2850.0,268423.0,636.0,993.0,194956.0,244.0,46.77343382006595,134.24399434762128
2013,대구,남구,15350AC400C104,1497.0,1903.0,186384.0,564.0,653.0,141126.0,229.0,43.62057448229793,127.12090848363393
2013,대구,달서구,15350AC400C107,3395.0,4452.0,429566.0,917.0,1418.0,313683.0,378.0,41.767304860088366,131.1340206185567
2013,대구,달성군,15350AC400C108,1389.0,1340.0,118307.0,429.0,936.0,203714.0,208.0,67.3866090712743,96.47228221742262
2013,대구,동구,15350AC400C102,2971.0,3776.0,376404.0,721.0,1486.0,301220.0,311.0,50.01682935038707,127.09525412319084
2013,대구,북구,15350AC400C105,2649.0,3199.0,314305.0,806.0,1253.0,284045.0,318.0,47.30086825217063,120.76255190637977
2013,대구,서구,15350AC400C103,1402.0,1642.0,151485.0,519.0,894.0,158264.0,201.0,63.7660485021398,117.11840228245364
2013,대구,수성구,15350AC400C106,2854.0,3613.0,337082.0,900.0,1304.0,271514.0,376.0,45.690259285213735,126.59425367904696
2013,대구,중구,15350AC400C101,712.0,893.0,80972.0,387.0,313.0,64440.0,168.0,43.96067415730337,125.42134831460675
2013,대전,대덕구,15350AC400F105,1515.0,1996.0,197001.0,556.0,653.0,133162.0,186.0,43.1023102310231,131.74917491749173
2013,대전,동구,15350AC400F101,2288.0,3154.0,300026.0,633.0,904.0,189315.0,192.0,39.51048951048951,137.84965034965035
2013,대전,서구,15350AC400F103,3515.0,4861.0,479064.0,927.0,1358.0,313239.0,343.0,38.63442389758179,138.29302987197724
2013,대전,유성구,15350AC400F104,2004.0,2636.0,253828.0,700.0,928.0,183217.0,295.0,46.30738522954092,131.53692614770458
2013,대전,중구,15350AC400F102,2898.0,4400.0,438332.0,659.0,946.0,204800.0,245.0,32.643202208419595,151.8288474810214
2013,부산,강서구,15350AC400B112,421.0,436.0,40571.0,232.0,193.0,44781.0,81.0,45.843230403800476,103.56294536817101
2013,부산,금정구,15350AC400B111,1540.0,1888.0,182943.0,538.0,600.0,139894.0,144.0,38.961038961038966,122.59740259740259
2013,부산,기장군,15350AC400B116,1061.0,1080.0,101811.0,303.0,544.0,132384.0,92.0,51.272384542884076,101.79076343072573
2013,부산,남구,15350AC400B107,1767.0,2559.0,258563.0,571.0,498.0,108501.0,173.0,28.183361629881155,144.82173174872665
2013,부산,동구,15350AC400B103,772.0,1021.0,103661.0,331.0,240.0,45362.0,79.0,31.088082901554404,132.2538860103627
2013,부산,동래구,15350AC400B106,1647.0,2364.0,252375.0,617.0,430.0,100049.0,158.0,26.10807528840316,143.53369763205828
2013,부산,부산진구,15350AC400B105,2262.0,3146.0,320614.0,672.0,596.0,133846.0,211.0,26.348364279398762,139.08045977011494
2013,부산,북구,15350AC400B108,1320.0,1635.0,167133.0,508.0,467.0,108905.0,143.0,35.378787878787875,123.86363636363636
2013,부산,사상구,15350AC400B115,1017.0,1224.0,109998.0,403.0,396.0,93450.0,124.0,38.93805309734513,120.35398230088497
2013,부산,사하구,15350AC400B110,1803.0,2251.0,212828.0,488.0,725.0,151765.0,162.0,40.21075984470327,124.84747642817527
2013,부산,서구,15350AC400B102,920.0,1144.0,123821.0,304.0,400.0,72646.0,84.0,43.47826086956522,124.34782608695652
2013,부산,수영구,15350AC400B114,1129.0,1500.0,147825.0,488.0,346.0,81055.0,143.0,30.646589902568643,132.86093888396812
