year,province,sigungu,kosis_region_code,service_type,benefit_users,provider_count_used,service_days,benefit_cost_thousand_krw,nhis_payment_thousand_krw
2013,강원,원주시,15350AC400I102,주야간보호,166.0,28.0,24651.0,872073.0,767010.0
2013,강원,인제군,15350AC400I116,계,312.0,150.0,62460.0,2648141.0,2381799.0
2013,강원,인제군,15350AC400I116,노인요양공동생활가정,16.0,17.0,2870.0,126370.0,105394.0
2013,강원,인제군,15350AC400I116,노인요양시설,141.0,37.0,29265.0,1383780.0,1253569.0
2013,강원,인제군,15350AC400I116,노인요양시설(구법),2.0,2.0,248.0,8950.0,7195.0
2013,강원,인제군,15350AC400I116,노인요양시설(단기보호전환),3.0,4.0,356.0,14036.0,11136.0
2013,강원,인제군,15350AC400I116,노인전문요양시설(구법),80.0,6.0,8952.0,405513.0,372065.0
2013,강원,인제군,15350AC400I116,단기보호,8.0,9.0,515.0,19049.0,16490.0
2013,강원,인제군,15350AC400I116,방문간호,2.0,2.0,27.0,1278.0,1167.0
2013,강원,인제군,15350AC400I116,방문목욕,85.0,13.0,1988.0,107667.0,96710.0
2013,강원,인제군,15350AC400I116,방문요양,124.0,39.0,17891.0,524732.0,467495.0
2013,강원,인제군,15350AC400I116,복지용구,68.0,39.0,0.0,42925.0,38293.0
2013,강원,인제군,15350AC400I116,주야간보호,4.0,5.0,348.0,13843.0,12284.0
2013,강원,정선군,15350AC400I112,계,382.0,112.0,78190.0,3371881.0,2996064.0
2013,강원,정선군,15350AC400I112,노인요양공동생활가정,41.0,15.0,7573.0,349037.0,314698.0
2013,강원,정선군,15350AC400I112,노인요양시설,172.0,32.0,37156.0,1787465.0,1571013.0
2013,강원,정선군,15350AC400I112,노인요양시설(구법),69.0,4.0,8018.0,294453.0,267780.0
2013,강원,정선군,15350AC400I112,노인요양시설(단기보호전환),1.0,1.0,90.0,3351.0,2681.0
2013,강원,정선군,15350AC400I112,노인전문요양시설(구법),2.0,2.0,231.0,10065.0,9009.0
2013,강원,정선군,15350AC400I112,단기보호,1.0,1.0,76.0,2834.0,2622.0
2013,강원,정선군,15350AC400I112,방문간호,0.0,0.0,0.0,0.0,0.0
2013,강원,정선군,15350AC400I112,방문목욕,114.0,12.0,2200.0,154879.0,140106.0
2013,강원,정선군,15350AC400I112,방문요양,173.0,28.0,22572.0,725866.0,648450.0
