longTermAdminSym_request,adminPttnCd_request,siDoCd_request,siGunGuCd_request,adminNm_request,resultCode,resultMsg,cyclTm,longTermAdminSym,pgmNm,pgmType,runPlc,tgtNop
14812000180,A04,48,129,은빛노인센터,00,NORMAL SERVICE.,1,14812000180,콩고르기,1,프로그램실,9
14812000189,A04,48,125,늘돌봄요양센터,00,NORMAL SERVICE.,1,14812000189,종이인형극,1,프로그램실,9
14812000306,A04,48,129,에버그린 실버홈,00,NORMAL SERVICE.,1,14812000306,회상활동,3,프로그램실,6
24811000030,B01,48,123,한빛노인복지센터,00,NORMAL SERVICE.,1,24811000030,공기압마사지,3,간호사실,15
24811000045,B01,48,123,희연재가커뮤니티케어센터,00,NORMAL SERVICE.,1,24811000045,"인지활동-네일아트.이,미용활동",1,주간보호센터,62
24811000063,B01,48,121,창원성심재가노인복지센터,00,NORMAL SERVICE.,1,24811000063,기능회복훈련,2,프로그램실,10
24812000200,B01,48,125,명진노인통합지원센터,00,NORMAL SERVICE.,1,24812000200,종이컵으로 탑 쌓기,1,이용 어르신댁,30
24812000359,B01,48,121,안정재활재가센터,00,NORMAL SERVICE.,1,24812000359,신체프로그램,3,주간보호센터 프로그램실,52
24812000415,B01,48,125,남가람 노인 통합지원센터,00,NORMAL SERVICE.,1,24812000415,원예프로그램,3,프로그램실,45
24811000045,B02,48,123,희연재가커뮤니티케어센터,00,NORMAL SERVICE.,1,24811000045,"인지활동-네일아트.이,미용활동",1,주간보호센터,62
24812000359,B02,48,121,안정재활재가센터,00,NORMAL SERVICE.,1,24812000359,신체프로그램,3,주간보호센터 프로그램실,52
24812000424,B02,48,123,태양재가노인복지센터,00,NORMAL SERVICE.,1,24812000424,"뇌건강체조,미술활동,수학,한글,칠교 등",1,생활실,21
24812000435,B02,48,121,창원도우누리 노인통합재가센터,00,NORMAL SERVICE.,1,24812000435,안전교육,3,창원도우누리 노인종합재가센터,52
24812000437,B02,48,121,선일데이케어센터,00,NORMAL SERVICE.,1,24812000437,인지-미술활동,1,"2,3층 프로그램실",70
24812000594,B02,48,121,다안재가복지센터,00,NORMAL SERVICE.,,,,,,
24811000008,B03,48,121,동진소규모노인종합센터,00,NORMAL SERVICE.,1,24811000008,지역자원연계(민요와장구),3,주간보호프로그램실,23
24811000030,B03,48,123,한빛노인복지센터,00,NORMAL SERVICE.,1,24811000030,공기압마사지,3,간호사실,15
24811000045,B03,48,123,희연재가커뮤니티케어센터,00,NORMAL SERVICE.,1,24811000045,"인지활동-네일아트.이,미용활동",1,주간보호센터,62
